,k
0,0.9961891204117049
1,0.9922434747529516
2,0.9951320254833108
3,0.9817416790051653
4,0.9918653661741976
5,0.9922493490094332
6,0.9773518978913689
7,0.9785065147292193
8,0.9830369027019575
9,0.9925784671952125
10,0.987544026138402
11,0.9950068772679082
12,0.9905302027839211
13,0.9956435789853887
14,0.9956804573983646
15,0.9906265912000618
16,0.9742464197774071
17,0.9744386416614471
18,0.982979137350521
19,0.9740494427081965
20,0.9921488079867969
21,0.957892273487968
22,0.96071583455579
23,0.9821034043439842
24,0.962017904627253
25,0.9832041478229374
26,0.9776875614857565
27,0.9517553214511393
28,0.9820147909400188
29,0.9536498713382556
30,0.9990436619424985
31,0.9885808024749497
32,0.9957771574667376
33,0.9955138225147852
34,0.9594659259677311
35,0.9938204350540568
36,0.9909287161714974
37,0.9989782075154147
38,0.9987746887032286
39,0.9989894567814042
40,0.9881238255287415
41,0.993787064772121
42,0.9765771885708351
43,0.9714342067361561
44,0.9742813723264285
45,0.9785079894012532
46,0.9611807727962314
47,0.9866464607056938
48,0.9627077408222477
49,0.9912134728229229
50,0.9828353802357142
51,0.9657746587138231
52,0.9893764302553676
53,0.9916490503534885
54,0.9921041691798681
55,0.9969497181438923
56,0.9618941304872949
57,0.9913926430425898
58,0.9942037247184
59,0.9692083987639776
60,0.9835612157623329
61,0.9967877775054067
62,0.972521770710887
63,0.9960016582503594
64,0.9793619410518861
65,0.9994573298762097
66,0.9875425805106247
67,0.999592963816451
68,0.9822263346602208
69,0.9746355341231896
70,0.9997447287538677
71,0.9945813466695861
72,0.9824680863314352
73,0.9952541718377779
74,0.9958834395809387
75,0.9759273733192003
76,0.9980341650475875
77,0.9933842425291558
78,0.9785846613634636
79,0.9990068688290377
80,0.9905585660397799
81,0.9978383979508847
82,0.9854731320533366
83,0.9920763637411912
84,0.99590262817205
85,0.9791270094352816
86,0.985051582841782
87,0.9617267557203236
88,0.9874944102570329
89,0.9978767064456091
90,0.9906137013000338
91,0.9868704065038935
92,0.9939739053475044
93,0.9344328537096976
94,0.9642541273136537
95,0.9849095428811482
96,0.9936901498366812
97,0.9862412330147525
98,0.9832089872816797
99,0.9864115755538385
100,0.9941738766079774
101,0.9890108173124483
102,0.9634412493538903
103,0.9749705551997752
104,0.9787152402080681
105,0.9658604864173196
106,0.9856250710405958
107,0.9731623681656655
108,0.9664541583056475
109,0.9784029276158324
110,0.999238888263251
111,0.9994484082130959
112,0.9928064727445458
113,0.9730706673151288
114,0.9839253952398407
115,0.9853000995001593
116,0.9848559052686333
117,0.9960399684757405
118,0.9608579345541132
119,0.9920581832434769
120,0.9947769726231402
121,0.9956126354128431
122,0.9967011769656061
123,0.9849450865633531
124,0.9771896663624959
125,0.9733195539311424
126,0.9887491501394416
127,0.9726821324747609
128,0.972116734665378
129,0.9735941253114119
130,0.9992678926210186
131,0.9457917498453873
132,0.9832282312666691
133,0.9917865751320407
134,0.9971306597926436
135,0.992335381353706
136,0.99985222248628
137,0.998130447473481
138,0.9895142965740187
139,0.9556780143681833
140,0.9991220314199266
141,0.9950737152523805
142,0.9874042446130826
143,0.97750849409308
144,0.9660656511099249
145,0.938053394392842
146,0.99157355327528
147,0.9830557131842534
148,0.9823528499623436
149,0.9839912020562009
150,0.9691089558822914
151,0.9983578911359925
152,0.997113346808218
153,0.9910917884196926
154,0.9908907896743027
155,0.9987498462722657
156,0.9818799576281817
157,0.9766585558106824
158,0.9925096817036214
159,0.9632231155658567
160,0.9801616916675567
161,0.9997324340580888
162,0.9949336445584603
163,0.9805967338554861
164,0.9806141533808854
165,0.9791760465140318
166,0.985072501837959
167,0.976683899310586
168,0.9862985209092124
169,0.9867491632927871
170,0.997560340464196
171,0.9955827732029042
172,0.9437808065696133
173,0.9884222037960214
174,0.9893421409338611
175,0.9880847306656438
176,0.9809669555741269
177,0.9902290290865006
178,0.9969635896374615
179,0.9995242520221101
180,0.9708437326016032
181,0.9968674020105712
182,0.984764627264358
183,0.9934610822828096
184,0.993511365469527
185,0.936487077042466
186,0.9904264944538863
187,0.9877506830570701
188,0.9956142645552716
189,0.9926419268669295
190,0.9559342783107939
191,0.9977182748402496
192,0.9899183313008976
193,0.9715654749764581
194,0.9857958381090305
195,0.9726866476442726
196,0.9877942804410071
197,0.9903708386443157
198,0.9896834670266716
199,0.9583105149115422
200,0.9879662364522769
201,0.976151446515519
202,0.9850779955850452
203,0.9822065083624527
204,0.9910050494549191
205,0.9967080634544325
206,0.9964816508136946
207,0.9973868026106983
208,0.9913666130381903
209,0.9755176507703555
210,0.9836057581438773
211,0.9777823537967583
212,0.9877009882898856
213,0.9614176191113533
214,0.9750468500884144
215,0.9809153230894248
216,0.9918947296879778
217,0.9622115861371459
218,0.9956501148745192
219,0.9912616193792868
220,0.9940902675723192
221,0.9835126253918353
222,0.9732234263968133
223,0.9899408112392134
224,0.9450143892080174
225,0.9922074661618823
226,0.9730920501825333
227,0.9586726544235575
228,0.9964280841725502
229,0.977857919332972
230,0.9600917438833715
231,0.9884728895599078
232,0.9912593486923107
233,0.9646600276124226
234,0.9759697561817141
235,0.9670691336993518
236,0.999911800434932
237,0.9963417687445408
238,0.983464051275571
239,0.985073251708531
240,0.9938580268118377
241,0.9862897791867056
242,0.9345486085684478
243,0.9972976324225223
244,0.976228711615056
245,0.9820314794600488
246,0.9824386881342813
247,0.9823008902059074
248,0.990937323514261
249,0.9577832155237765
250,0.995619922048526
251,0.9946549566872418
252,0.992989208448157
253,0.9801477678073397
254,0.9736021645850038
255,0.9954317628586028
256,0.9807482556983047
257,0.9511295836378778
258,0.9808530667916159
259,0.9839388447754567
260,0.9812237188999432
261,0.9934673103989966
262,0.9786146708790769
263,0.9841159809532656
264,0.9947079824927074
265,0.997955768854039
266,0.998795997989621
267,0.9878212625458075
268,0.977938442502254
269,0.984798353522166
270,0.9509746346884232
271,0.9751708126276648
272,0.9914213231558378
273,0.9925996909047134
274,0.9970562065228572
275,0.983486757913544
276,0.9971485401564669
277,0.9871812279584778
278,0.9899581300231339
279,0.9824451028621302
280,0.9748826652350889
281,0.9757059023370017
282,0.996240480936542
283,0.9982169476121261
284,0.9961437819192197
285,0.9719790815523054
286,0.9510157264900996
287,0.9898113901339216
288,0.9957533787105048
289,0.9799718598025935
290,0.9714261967745862
291,0.9589164164487752
292,0.9953589809738316
293,0.9808339727661392
294,0.9955897571401177
295,0.9885547268755221
296,0.9953348405395513
297,0.999693287022377
298,0.9964163167374651
299,0.9827932954655798
300,0.9778083447224671
301,0.9967854062753756
302,0.9894548462248388
303,0.9787627973918058
304,0.9977969053134969
305,0.9982962384325186
306,0.9811972595797436
307,0.9817158911515504
308,0.9885955115841155
309,0.971983577733755
310,0.9867179999159724
311,0.9863178020325585
312,0.9543865836461015
313,0.9948239267704491
314,0.9906815607627386
315,0.9871752328289227
316,0.9888323964599666
317,0.9692668896146682
318,0.9966926277817217
319,0.9901117968963191
320,0.9586572774922141
321,0.9929148678941192
322,0.9423009135806294
323,0.995297451711139
324,0.9803839199586438
325,0.975857355625678
326,0.9787035611638683
327,0.9948223213224521
328,0.9935236738840808
329,0.9868967167939146
330,0.9992474312206926
331,0.9804337604770768
332,0.9915055672798809
333,0.9854954697410979
334,0.975803283877326
335,0.9963122879804454
336,0.9851090018191586
337,0.9900133531143795
338,0.9556016973463668
339,0.9987735571043584
340,0.9750366525050713
341,0.9995917591117016
342,0.9925851838431242
343,0.9873410167206929
344,0.9664612990074358
345,0.9822035555004706
346,0.9719101051248419
347,0.9818443372491182
348,0.9999282539495087
349,0.9984309590513996
350,0.9925058412691514
351,0.9873552836545113
352,0.9617241295164045
353,0.9987850592999694
354,0.9729318275372835
355,0.9950197136770811
356,0.9542211305312525
357,0.9836141082370304
358,0.9871325159509043
359,0.9970146790063195
360,0.9830548268931641
361,0.9761211986353521
362,0.9984413013372336
363,0.9870509040853134
364,0.9774888636797381
365,0.9836368215155551
366,0.9920947012567319
367,0.9895228110217351
368,0.997236346326308
369,0.9798525164157738
370,0.9599701554635846
371,0.9987475925846595
372,0.9929732103417106
373,0.9999709255839426
374,0.9842405476495244
375,0.9727124882233039
376,0.9800570096654353
377,0.9507835189521561
378,0.9984677954207986
379,0.9797807139746643
380,0.9789579499104251
381,0.9653568222988614
382,0.9691580939211438
383,0.9919293347463174
384,0.9599311092008864
385,0.9789234542084961
386,0.9849325570969417
387,0.9768830187073777
388,0.972000738121132
389,0.9999271844949649
390,0.9709365592544538
391,0.9770019087451511
392,0.999982550597253
393,0.9938155050622298
394,0.9745733672406336
395,0.9731526863494334
396,0.9874280013460937
397,0.9953064231598343
398,0.9996492177949934
399,0.9856068022851159
400,0.9504380675986801
401,0.9801736799155987
402,0.9957391197578556
403,0.9990763682279339
404,0.9935831740884398
405,0.9826538816563598
406,0.9898809623276009
407,0.990816586781606
408,0.9935956356690704
409,0.9754064281538602
410,0.993517810112126
411,0.996828339702387
412,0.9990094865418838
413,0.9800913604822956
414,0.9545500871633018
415,0.9971565293134413
416,0.9746540706540819
417,0.9904292938171471
418,0.9884423074369615
419,0.9877604861494869
420,0.9632230164447005
421,0.9516442184943193
422,0.9981651088741187
423,0.9544854189785154
424,0.9871251500098136
425,0.9696767178259661
426,0.9922068255188916
427,0.9909807224174123
428,0.9971024372697305
429,0.9664444407761862
430,0.9920233469848876
431,0.9790038185730053
432,0.9767989247727765
433,0.9907253941950703
434,0.9966072260712737
435,0.9921148217195517
436,0.945090992049649
437,0.9689254256938833
438,0.9870317826890651
439,0.9992248782330703
440,0.9524487597551854
441,0.9883645487098658
442,0.9699144524625615
443,0.951447417571064
444,0.9562053573973505
445,0.9995693261296602
