,k
0,0.9881055342724367
1,0.960086529206931
2,0.9664684610047991
3,0.9972753811377025
4,0.9936425108238282
5,0.999634118916633
6,0.9732041530528386
7,0.9883359924580221
8,0.9823904717169305
9,0.9736086165003547
10,0.9847589550117447
11,0.9989760771008501
12,0.9851096531171382
13,0.9741830151647135
14,0.980306951489749
15,0.9987528944798596
16,0.9540494817537796
17,0.9960817328856001
18,0.9813206075672322
19,0.9966742327999086
20,0.9465228565478525
21,0.9986265473092857
22,0.9850405131334894
23,0.9838268732176645
24,0.9784762698633022
25,0.9725797566360036
26,0.993106353761729
27,0.9925914352566351
28,0.9838914054273656
29,0.9976226412068057
30,0.9478519876532296
31,0.9800730442707323
32,0.9514108387832658
33,0.9871254236026821
34,0.9681909684950636
35,0.9732383441450334
36,0.96582672023495
37,0.9820746437149139
38,0.9673902405139488
39,0.9903792554573262
40,0.9660459463991725
41,0.9885559532659568
42,0.9844843967801016
43,0.9870585950657175
44,0.9901551358902162
45,0.9817845295611224
46,0.9823155067215964
47,0.9815089662981199
48,0.983161230389398
49,0.9641283452108862
50,0.9814605025863402
51,0.978704510799399
52,0.9950988030874134
53,0.9806270722336763
54,0.9798896773286169
55,0.9851268586365225
56,0.9867454671653284
57,0.9733259226491542
58,0.9943304844893922
59,0.9630052630256076
60,0.9932000553649852
61,0.9966159030923067
62,0.961403647138615
63,0.9566150171704021
64,0.9786005056980008
65,0.9938863808354004
66,0.9929866997560026
67,0.9629936746309886
68,0.9901107299529808
69,0.9548566618325404
70,0.98073879042639
71,0.9817053132733746
72,0.9986678408953309
73,0.9925986957683253
74,0.9780627907099326
75,0.9628144987440435
76,0.9909487192668587
77,0.9721293915313555
78,0.9552801891433075
79,0.9563519069727846
80,0.9805602310866436
81,0.9860263299354236
82,0.998867934287592
83,0.9557095059203133
84,0.961495294331154
85,0.9767855262893186
86,0.9843854534885806
87,0.9835606013312045
88,0.9760691106855154
89,0.9511738886523213
90,0.9902554275294418
91,0.9591182179823795
92,0.945926147612045
93,0.9855233176340868
94,0.989635390951417
95,0.9871484839519995
96,0.9906317163317268
97,0.9968383618717058
98,0.9603975058373373
99,0.9820899451629984
100,0.9711693877647402
101,0.9986359879112904
102,0.9681090448031587
103,0.9678960840928829
104,0.9854690158372448
105,0.983174962932601
106,0.9607279165990744
107,0.987846804288517
108,0.989358850735198
109,0.9577361103483054
110,0.9960187306186575
111,0.9294291851794882
112,0.9992985425722825
113,0.985213032157958
114,0.9955432514228139
115,0.9594686168306601
116,0.981438830265581
117,0.9822820802099733
118,0.9411545775209373
119,0.9797508863036791
120,0.99723876229583
121,0.9978350537515337
122,0.9694665946105315
123,0.9911110993283654
124,0.9938954519627541
125,0.9708370404403335
126,0.9889519000329318
127,0.9605729140570238
128,0.9357690223725996
129,0.9610682176842806
130,0.9863150124778848
131,0.9942313008472942
132,0.9519395560114715
133,0.9547465110285314
134,0.9654859491822378
135,0.9476704480688191
136,0.9877416110487841
137,0.9742352259227728
138,0.9956695355710198
139,0.9792247762396179
140,0.9790004717339997
141,0.9700447963495902
142,0.9783999907351026
143,0.9769640087899175
144,0.9720694255309116
145,0.9304079053213489
146,0.9769357326635386
147,0.9956378675743535
148,0.9599306052886923
149,0.9703381310238365
150,0.9425395391951041
151,0.9946818011532441
152,0.9894329384118654
153,0.9877349130988539
154,0.9740968900550205
155,0.99702335405796
156,0.9984282241817682
157,0.981189624081333
158,0.9624271321197535
159,0.9562151514142252
160,0.9812536123259844
161,0.9781748715304455
162,0.9620856878932248
163,0.9735545833560446
164,0.9291809802220101
165,0.9964265542004951
166,0.9869043779324195
167,0.9802832768228171
168,0.9813577061645427
169,0.9750199866716068
170,0.9901025794375141
171,0.9961868260975965
172,0.9748492779163527
173,0.9710333385814737
174,0.9820105794746153
175,0.9677007650399723
176,0.9872037111123821
177,0.9736728040521356
178,0.9746580420778568
179,0.9960212972150855
180,0.9894995934620966
181,0.9772719774885168
182,0.9808397554642914
183,0.9870638570554351
184,0.9550280216210263
185,0.9663214011071369
186,0.9864290784796836
187,0.9485989557391128
188,0.9812489812856453
189,0.9821139975184316
190,0.9942622010648436
191,0.9882923462486758
192,0.9417225384945563
193,0.981077246443552
194,0.9685609668418673
195,0.9990960814709834
196,0.965273729906766
197,0.9926682959391865
198,0.9781627409358484
199,0.9755516500116894
200,0.9706200768162488
201,0.9931964379724045
202,0.9768627800429522
203,0.9472375286219392
204,0.9918903582693788
205,0.9677440412369368
206,0.9780503703746247
207,0.9765802756551073
208,0.9766739929795782
209,0.9924326519559442
210,0.965019145670793
211,0.9855920944177483
212,0.9949380095252648
213,0.9934888413574525
214,0.9978275892645858
215,0.992893226870979
216,0.9807199022578874
217,0.9595983067106031
218,0.9509578503284722
219,0.9848457293051438
220,0.9887552483434751
221,0.945985244223057
222,0.9943882466145427
223,0.9898034040861071
224,0.9831767970199475
225,0.9548599399639599
226,0.9769142463010767
227,0.9809952517396106
228,0.9943601124054002
229,0.9941607881157213
230,0.9683696167050596
231,0.9737474935284385
232,0.9731501737973136
233,0.9858078404779905
234,0.9709798314429561
235,0.9850179011415977
236,0.9781205622297161
