,tanB,cosBA,k_gamgam
0,0.1214976974321168,0.02345756658219872,-0.2984380318476332
1,0.4759843169275075,-0.00457892009729863,-0.19141638624719717
2,-1.594561763299419,0.0012722485590155388,0.019096044235397458
3,0.05359366885879535,-0.009345821263308459,-0.2930529770887329
4,0.6743605620499472,-0.013761466195728652,-0.2919005057875859
5,0.1062422192124946,0.005149572639786609,-0.0676021465488632
6,-0.19662181596804906,-0.021487692167392696,-0.23389149300052509
7,0.8629662935605986,-0.012460730054380259,-0.32750275342702223
8,-1.3977418440748983,0.0015737962442583502,0.05358432116574294
9,-0.19627462976078924,-0.006862382602474173,-0.1891483412416213
10,-0.17007588400561724,0.03135115018602474,-0.09946865769821905
11,-0.3545845300237031,0.01839068084657925,0.015621364982411012
12,-0.7380924238224911,-0.003540077447820562,-0.1439834619110104
13,0.39632576918062845,0.009606257748811247,0.25290010330521073
14,0.9609782969362118,0.0030993498526442195,-0.20525623158106499
15,-1.357706824952344,0.0008505818096254435,-0.3129462737060561
16,0.4240821482885109,0.0010996722576754603,-0.18464556612189054
17,0.2018081167699252,-0.005136518095318787,-0.09936027360868072
18,0.3468749500619914,-0.014683608328487021,-0.2852728798222142
19,0.17446334467019142,0.01423022107327454,-0.10737663585273532
20,1.0811261680666107,0.002782589923173279,-0.1602318074637268
21,0.026284616481213274,-0.031073872015718235,-0.2734094512524833
22,0.053807422351065115,0.011607153166314943,-0.20674377532030366
23,0.04275938284587816,-0.006283341760127476,-0.16909625685652047
24,-0.1168806491505397,-0.025512573603863185,-0.31259219186085047
25,-0.489791686935329,-0.011837645808315806,-0.31514536499667334
26,0.05139469458050583,0.015297764903360656,0.2178929643101318
27,0.5051351113348441,-0.013435172285942331,-0.04303125081133505
28,-0.7477145361613258,-0.011020157586040823,-0.19563701137662087
29,0.06376017662174782,-0.02292802679981094,-0.29488807442313947
30,-1.0609146629611144,0.0025483863385130177,-0.1595654770676629
31,-0.08163573773259858,-0.007904855678936076,-0.06797989536053226
32,-0.3541093426810774,0.0027529704369704147,0.025891675461173665
33,-0.08679666273079531,-0.028855370555641656,-0.2523290983478825
34,-0.03900902567738346,0.009166129112549638,-0.13393399596969982
35,-0.060516851386283044,0.02293016008453003,-0.03111085049707668
36,-0.29928507442581753,-0.001667215509348733,0.054867049382251204
37,-1.0026514772307469,-0.0006946139797409726,-0.04736345796567021
38,0.5589342861095671,0.003699282387447307,-0.0415333952466234
39,0.4028328493192093,-0.007410876502801126,-0.13250307943032047
40,0.1826763996987333,-0.013578225623364849,-0.24249259213897403
41,-0.30999027835951376,-0.009750434623179132,-0.190463885564949
42,0.3999274605387478,-0.012066832932957941,-0.018692479202240875
43,-0.8348619774360144,0.002085504226393956,-0.2871760419874045
44,0.9434278123454738,-0.007826150606610228,-0.22740141576909786
45,-0.31062092875202285,-0.021034311654387593,-0.19233865591625945
46,0.031214745830455512,-0.021475462812477225,-0.3312924925134505
47,0.3054012262163681,-0.02419299994060005,-0.2174679093914041
48,0.44542903574028647,-0.004599418889801582,-0.1103103668884418
49,0.3430983310668141,-0.019715727315575436,-0.10601313725609568
50,-0.07042176818409168,-0.013151836421493514,-0.18271517527822628
51,-1.4975616891620906,-0.001096708417038436,-0.26831093633970216
52,-0.32516353286229915,-0.001258480705533503,-0.0791513076979348
53,-0.32011518678840756,-0.0019867009070297066,0.11186610720560938
54,-0.6887104801812134,-0.0037728023309743994,-0.15145744407996195
55,0.24615203420180104,-0.020498355453682768,-0.13723884343574907
56,0.21206876804104713,0.004429237790339911,-0.05451800400858392
57,0.04000881347372659,0.005319704395016297,-0.15342515455895409
58,-0.20288777942062108,-0.001101066429939795,-0.21595506279150187
59,-0.22447664610456877,0.04912138238373482,0.07540452275284976
60,-0.6234289835624309,-0.0030789621611941207,-0.32075945290062724
61,-1.4963562704919002,-0.0003578082887986233,0.04469704938409591
62,0.40913241364952396,0.01576141415192235,-0.022644170261899355
63,0.3933370668699948,0.004633942380193483,-0.08557797928929911
64,-0.3529091472124384,-0.01036822145933766,0.024757001600537065
65,-0.3945114465614789,-0.03636931940985144,-0.3569157040779426
66,-0.22566817245300197,0.010050350143366775,-0.17038700310493546
67,-0.33442081284434716,-0.0002787775756304192,-0.044394796957339944
68,0.7210610245628523,-0.005182202388052075,-0.09950057953698502
69,0.3382216922724979,-0.0034575000097599217,-0.3896933945541874
70,0.8279213781659739,-0.00897793731113338,-0.21710458136648145
71,0.46332363015045364,0.012473861843476805,0.12950826132466153
72,-0.20299681980981446,0.014352013239488134,-0.08833536935748455
73,-1.3237227885374658,-0.0007667700169754887,-0.04851922568407429
74,1.32281065056078,0.0005581515035692226,-0.05419377423035887
75,0.3996301576430219,-0.058424587008254265,-0.3542648589390783
76,-0.20040961870876328,0.0019043899786444617,-0.0857524579269518
77,-1.3602235565618486,0.002991643641581977,-0.08519759670935886
78,-0.11893764347264679,-0.0010834946637286944,-0.3341546129239831
79,0.03349662815709831,-0.03396692796201848,-0.2665076057430372
80,0.09095446377799465,-0.0271559082504539,-0.1843323852282408
81,-0.018379017201761882,0.002759782884962058,-0.08460544814420326
82,0.2731008937481032,-0.002361776800731297,-0.02655480606289201
83,0.046363134993443245,0.001496923002264448,-0.011901079841827228
84,-0.15903327082390506,-0.020743288649254087,-0.3629457521183201
85,0.03576002268043918,-0.021113560079145305,-0.19204533022845077
86,-1.922873738452347,0.0004130554840885512,0.15502243458895454
