,cos_t
0,1.0019856127600557
1,0.9813788500942967
2,0.9848903293511712
3,1.0199518868811117
4,0.9558768211013564
5,0.9326441830336637
6,0.9685713525740537
7,0.9881702718337091
8,1.0151492176183172
9,1.002940906287568
10,0.9556181006895617
11,0.995958307101294
12,0.996411539659784
13,1.0202188834163681
14,0.9738739829175516
15,0.9984368042301071
16,0.9863568115233075
17,0.9798089774454337
18,1.0076193763894254
19,0.9996733794476484
20,0.9856253904302144
21,0.9926457071656709
22,0.9713687536141917
23,0.9701146176122698
24,1.0144438569233216
25,1.0109190429899226
26,1.001510288744585
27,0.966182114734099
28,0.9699786397529669
29,1.017057787063028
30,0.9876650292801991
31,0.9718676954062824
32,1.0034333565447502
33,1.0152416388982861
34,1.0068696812524003
35,1.0160850397601844
36,0.9577598467376554
37,1.0249921903515753
38,0.9997034066397288
39,0.9883329309763231
40,0.9858773561656682
41,0.9772167950494769
42,0.9836882452182228
43,0.9987609963044659
44,0.9756398813288978
45,1.0121802389363082
46,0.9797571402839511
47,0.9960652034841131
48,0.9981756110633899
49,0.9207833633474738
50,0.974633980381782
51,1.0065567107475757
52,0.9258322504762002
53,1.0095217277115471
54,1.0008417644222476
55,1.0016803638955822
56,1.0128123935982292
57,1.0060284373834962
58,1.005333086638694
59,0.9818716612249327
60,0.9676102087378634
61,1.017292092909905
62,0.9846507017442081
63,0.9944971988462307
64,1.0153087980402629
65,0.9548383953448835
66,1.004418146006031
67,0.9848663519779907
68,0.9783462745264828
69,0.9445485436536448
70,0.9844488218963918
71,0.9808340696255474
72,0.9959739079301015
73,0.9957134765361686
74,0.9904078244639052
75,0.9849601806758155
76,0.976077697023229
77,0.9873220374361542
78,0.9340921500185615
79,0.9515000648878482
80,0.9893325188051676
81,1.0111825343221774
82,0.9514564536863862
83,1.0234077204104028
84,1.0002375952811118
85,0.9508396355212013
86,1.0036300307768862
87,0.9587821967889651
88,0.9660943397244124
89,0.9699052092928976
90,0.9623103860299838
91,0.9960051892999982
92,0.9985594102538041
93,0.9909170890778405
94,0.9714518165910657
95,0.9585378330296197
96,0.9871708597407726
97,0.9545389270188888
98,1.0017778362501855
99,1.0021587389517648
100,0.973377286859628
101,0.9757469821662857
102,0.9845661703353907
103,0.9488418360845899
104,1.004144376983673
105,0.9553902181425462
106,0.9339143087927763
107,0.9363931792634265
108,1.0008324837274638
109,1.014364917867804
110,0.976665817056825
111,0.9900886613258685
112,0.9945191458230169
113,1.021487330299733
114,0.9925917799366016
115,0.9769452786701631
116,0.9648162123129944
117,1.0030205776163545
118,0.9780486524030939
119,0.9765014081979702
120,1.0078235072853858
121,0.9787542240420362
122,0.9962083763994176
123,0.9569632392185072
124,0.9645839218125807
125,1.0081543580133145
126,0.9846600120110411
127,0.9985817496687927
128,0.9758091847325419
129,0.9425788064184599
130,0.976064523853143
131,0.994987980498398
132,0.9847036250445409
133,1.0362865891919244
134,0.9967190603908155
135,0.9700739553739648
136,0.9614753093903947
137,1.0101396418645374
138,0.9556827916787453
139,1.0011288951719013
140,0.9850242934809735
