,xi
0,0.006000992628065468
1,0.056419491223901205
2,0.046680453331128316
3,0.011581522977116942
4,0.004575098816524943
5,0.025612770212493856
6,0.014397149291141605
7,0.03612404481125218
8,0.05097244049219117
9,0.01674268253225933
10,0.015095245596686478
11,9.882381836766839e-05
12,0.003796852786940249
13,0.04249679656932628
14,0.007405515512375853
15,0.018830397445722902
16,0.011648039677683786
17,0.007385483478705705
18,0.003595900262031591
19,0.06427908297023809
20,0.039650885025729624
21,0.018500109074575506
22,0.03280634300033374
23,0.00011875049260024026
24,0.009914510155021858
25,0.03829805964593466
26,0.015080860448472568
27,0.03570787648500931
28,0.0025097849138841152
29,0.033733571835040714
30,0.015524729335818692
31,0.004383177394753784
32,0.024454414662497478
33,0.030431705913439366
34,0.022809351528912888
35,0.046100118281356975
36,0.01012259198403316
37,0.010334522352059861
38,0.011158427792610608
39,0.019520042754190343
40,0.05539452991583882
41,0.034971354368199294
42,0.023364181274554006
43,0.02021585597427489
44,0.015159421121133006
45,0.013070140028934356
46,0.00981467395427425
47,0.02420307773405328
48,0.009617583121154086
49,0.007966607962933088
50,0.0001818412666107251
51,0.03669551965647471
52,0.03305258859884441
53,0.027154362204817865
54,0.02636959460109583
55,0.014659722867924352
56,0.05940822771787318
57,0.0019448723839145705
58,0.043648340193104346
59,0.04403979351543201
60,0.006787428668865284
61,0.027769599518707867
62,0.0061092395898650325
63,0.026881287416731604
64,0.00305796684349767
65,0.045249524858473486
66,0.0006619877481696401
67,0.03765422086780506
68,0.015215559537462673
69,0.0029322652865431988
70,0.050345236238628646
71,0.04784667681210776
72,0.017166308640091648
73,0.014807655937258248
74,0.013716119419775102
75,0.04936704879418709
76,0.04493101669265604
77,0.02379960341080916
78,0.009149867530462479
79,0.00961554694928062
80,0.00999073033822127
81,0.0015502476197028973
82,0.015719737773790755
83,0.014488876753095351
84,0.016198867215022526
85,0.037092253060693144
86,0.032951487438298926
87,0.007928919253795602
88,0.02692319331056961
89,0.010997796726531702
90,0.017297716349353343
91,0.023553289352126434
92,0.027917045806938358
93,0.008575697746854537
94,0.023890916820929718
95,0.02434274622756674
96,0.013330392495615098
97,0.01292451648247842
98,0.054683636869892714
99,0.02758621298411099
100,0.009743718834980021
101,0.01911358782563837
102,0.0477904505719436
103,0.0056876177174751685
104,0.007054598705346577
105,0.02590774544304541
106,0.04675243338205079
107,0.023348034410203902
108,0.01653559826048145
109,0.0037612418834121458
110,0.012689620554226486
111,0.033611630444207855
112,0.02573187676549754
113,0.03297641699649954
114,0.05169794018904416
115,0.010664223922953714
116,0.0009392198504049806
117,0.010368409751766143
118,0.041013893855573635
119,0.05509786141102491
120,0.018276895517919788
121,0.039431767383131304
122,0.008999684708381552
123,0.031067344398970704
124,0.009439169127120839
125,0.026391305397803908
126,0.03115199848350892
127,0.0032266381670177126
128,0.005439818537462703
129,0.021169243338920386
130,0.014595815989466129
131,0.02919946117369694
132,0.030228075006346576
133,0.004478614901482561
134,0.010882233434878617
135,0.031719349034293534
136,0.01504046192690621
137,0.027011427537149347
138,0.007315979451472589
139,0.000486872780101566
140,0.003631589219403518
141,0.01514111645315994
142,0.008672119626678593
143,0.004530202024843158
144,0.00784470058355495
145,0.04179825376749927
146,0.0033564039034622364
147,0.009188225449275797
148,0.047574065515534406
149,0.031233542328671995
150,0.0052577561691373835
151,0.015285181320474742
152,0.006691657462715328
153,0.04926575295358942
154,0.006440477839665742
155,0.020878362009524948
156,0.046122379585676984
157,0.002211848175125465
158,0.016509188464633673
159,0.02285939140067926
160,0.009773131348212127
161,0.023630526008547675
162,0.013825687657569054
163,0.026344474635237664
164,0.00045653046575890727
165,0.0016973690156863869
166,0.01173061197831201
167,0.00906407354322191
168,0.00539580779542902
169,0.007961045495966625
170,0.013358836514951067
171,0.0052134268359838145
172,0.033317125035522886
173,0.03612305683997642
174,0.010799753426542833
175,0.0423111473953949
176,0.0566564199547517
177,0.02780173176911202
178,0.02570399967888126
179,0.01086866605215197
180,0.0005998026078956817
181,0.0008498950157945634
182,0.03622027472963052
183,0.007543283346519402
184,0.026064393404174865
185,0.006652209433358273
186,0.019670596091198447
187,0.033431122009215435
188,0.04059793079532803
189,0.017157125508155874
190,0.028550125747757785
191,0.019134149860519103
192,0.0087527898067755
193,0.012718178321512827
194,0.005413999079287274
195,0.004704381606529976
196,0.04513426822307031
197,0.005652915191367182
198,0.004366272602272046
199,0.037166151416472004
200,0.006325467644811955
201,0.020291354400986374
202,0.08023831230199784
203,0.03263866960662661
204,0.0013687083178000898
205,0.04089186173147905
206,0.060569898475516054
207,0.010478225280682705
208,0.013660542235497179
209,0.02668457240228322
210,0.03471317116398051
211,0.029171139161267116
212,0.026296781111693174
213,0.0488779859905071
214,0.02954798603653686
215,0.04342688434944564
216,0.0058028567581349
217,0.03253157783752073
218,0.019399171477716744
219,0.033116955071403525
220,0.017572235852583017
221,0.018689869958268518
222,0.04800600639013995
223,0.03938173613977124
224,0.03532663445689855
225,0.015572332822818915
226,0.03209282348430277
227,0.04271306412566972
228,0.026501057060486728
229,0.03577868508473753
230,0.006070272353316822
231,0.04179404780959771
232,0.010596494626256801
233,0.029979345830140766
234,0.04620718026629137
235,0.0027030907451461063
236,0.029629096065865508
237,0.059220407536681244
238,0.030829779639806796
239,0.0075024051872084946
240,0.013569213667658668
241,0.02769172380630024
242,0.004717369319652659
243,0.013982586140838573
